transaction_id,borrower_id,transaction_date,amount,currency,direction,counterparty_id,counterparty_name,purpose
TX-A1,B001,2026-04-01,5000000,KZT,outgoing,CP-001,Vendor One LLP,Оплата по договору A-11
TX-A2,B001,2026-04-10,6000000,KZT,outgoing,CP-002,Vendor Two LLP,Оплата оборудования
TX-A3,B001,2026-04-20,5000000,KZT,outgoing,CP-003,Vendor Three LLP,Оплата услуг
TX-A4,B001,2026-04-22,2000000,KZT,incoming,CP-010,Customer X,Поступление выручки
TX-B1,B002,2026-04-05,2500000,KZT,outgoing,CP-RF,RED FLAG LLP,Оплата по счёту RF-77
TX-B2,B002,2026-04-03,4000000,KZT,incoming,CP-021,Client A,Оплата логистических услуг
TX-B3,B002,2026-04-18,5000000,KZT,incoming,CP-022,Client B,Оплата перевозки
TX-B4,B002,2026-04-25,3500000,KZT,outgoing,CP-023,Fuel Partner,Топливо
TX-G1,B003,2026-04-04,4000000,KZT,outgoing,CP-GA,Vendor A,Закуп товара
TX-G2,B003,2026-04-07,3000000,KZT,outgoing,CP-GA,Vendor A,Закуп товара
TX-G3,B003,2026-04-14,2000000,KZT,outgoing,CP-GB,Vendor B,Логистика
TX-G4,B003,2026-04-21,1000000,KZT,outgoing,CP-GC,Vendor C,Маркетинг
TX-D1,B004,2026-04-02,7000000,KZT,outgoing,CP-D1,Concrete LLP,Материалы
TX-D2,B004,2026-04-16,8000000,KZT,outgoing,CP-D2,Steel LLP,Металлопрокат
TX-D3,B004,2026-04-28,3000000,KZT,outgoing,CP-D3,Transport LLP,Доставка
